"species1","species2","D","p_eqD","CI_eqD_lower","CI_eqD_upper","p_sim1D","CI_sim1D_lower","CI_sim1D_upper","p_sim2D","CI_sim2D_lower","CI_sim2D_upper"
"Balmea_stormiae","Cosmibuena_grandiflora",0.0285550042181146,0.693069306930693,0.0123075784928574,0.0691786329005488,0.465346534653465,0,0.154727066956758,0.326732673267327,0,0.158513581590435
"Balmea_stormiae","Cosmibuena_macrocarpa",0,1,0.0175072339932314,0.0683564727625392,1,0,0.171127510867558,1,0,0.184884672637525
"Balmea_stormiae","Cosmibuena_matudae",0.129547149819782,1,0.437754540742866,0.784259913164466,0.168316831683168,0,0.295367882195981,0.148514851485149,0,0.251900958461567
"Balmea_stormiae","Cosmibuena_valerii",5.94308221173456e-05,1,0.15396377296481,0.233122831650437,0.762376237623762,0,0.234519867933292,0.633663366336634,0,0.245118933900004
"Balmea_stormiae","Hillia_allenii",0,1,0.00959383112085085,0.218502452062173,1,0,0.214919407349406,1,0,0.250396787648105
"Balmea_stormiae","Hillia_costanensis",0,1,0.104413828450573,0.368075152023419,1,0,0.152162488789421,1,0,0.145772204532563
"Balmea_stormiae","Hillia_grayumii",0,1,0.00690349205458082,0.101233832826015,1,0,0.0765648516946203,1,0,0.0746949145590904
"Balmea_stormiae","Hillia_illustris",0.0210853173579132,0.792079207920792,0.0101945840178788,0.0650192273095784,0.475247524752475,0,0.248937542605077,0.415841584158416,0,0.144787336037732
"Balmea_stormiae","Hillia_killipii",0.0293205313675836,0.683168316831683,0.0199710382761541,0.0716054639013392,0.207920792079208,0,0.154940793043075,0.217821782178218,0,0.233549109270459
"Balmea_stormiae","Hillia_longifilamentosa",0.0060246999554765,1,0.0277183955186217,0.275051156733095,0.485148514851485,0,0.234970172806857,0.554455445544555,0,0.268050608225896
"Balmea_stormiae","Hillia_loranthoides",0.00176843907329627,1,0.150905924659247,0.400079991682211,0.653465346534653,0,0.332511360664857,0.613861386138614,0,0.393617073064892
"Balmea_stormiae","Hillia_macromeris",0,1,0.0193927779194183,0.084273958478933,1,0,0.119313693521469,1,0,0.138162310726344
"Balmea_stormiae","Hillia_macrophylla_SA",0.0290300573228672,0.732673267326733,0.0191093687584684,0.0537355340616919,0.198019801980198,0,0.136853186337418,0.237623762376238,0,0.138663017857326
"Balmea_stormiae","Hillia_macrophylla_CA",0,1,0.00391602701993028,0.119444933075016,1,0,0.225176622314022,1,0,0.22102322577447
"Balmea_stormiae","Hillia_maxonii",0.0151513008544777,0.851485148514851,0.0129665449125629,0.044510104874023,0.366336633663366,0,0.147070693529735,0.336633663366337,0,0.132050696354584
"Balmea_stormiae","Hillia_palmana",0.00832656736127946,1,0.157767822658199,0.228373211247328,0.643564356435644,0,0.251474693989492,0.712871287128713,0,0.202166606478931
"Balmea_stormiae","Hillia_panamensis",0.0141897875117052,1,0.251819128584175,0.528856975766094,0.396039603960396,0,0.23645303816978,0.415841584158416,0,0.2450365257534
"Balmea_stormiae","Hillia_parasitica",0.0859149814072843,0.099009900990099,0.0394654683224884,0.0908994547541308,0.138613861386139,0,0.107919996579543,0.217821782178218,0,0.118093751046885
"Balmea_stormiae","Hillia_pumila",0.0222773953110363,0.930693069306931,0.0204285972733216,0.136492345490437,0.148514851485149,0,0.151459971686467,0.128712871287129,0,0.147794445970761
"Balmea_stormiae","Hillia_tetrandra",0.041403324735422,1,0.205692962669931,0.503985803335226,0.287128712871287,0,0.273459967198144,0.267326732673267,0,0.190601845440484
"Balmea_stormiae","Hillia_triflora_var._pittieri",0,1,0.0995055301722029,0.175815177398639,1,0,0.242764458450983,1,0,0.196119966707202
"Balmea_stormiae","Hillia_triflora_var._triflora",0.00724945863656967,1,0.125861676368643,0.222184474513319,0.584158415841584,0,0.233911061224409,0.485148514851485,0,0.174531495053
"Balmea_stormiae","Hillia_ulei",0.167567627169588,0.0099009900990099,0.0120643612899934,0.0650362641034756,0.0594059405940594,0,0.163942502990308,0.0693069306930693,0,0.171576915314612
"Balmea_stormiae","Hillia_wurdackii",0.0690734367211909,0.297029702970297,0.0384218268012906,0.125354460795954,0.0396039603960396,0,0.0387157891251281,0.0495049504950495,0,0.0487438621437847
"Cosmibuena_grandiflora","Cosmibuena_macrocarpa",0.441940205163525,0.900990099009901,0.216279785727966,0.733249531189175,0.148514851485149,1.0547118733939e-16,0.625956229978427,0.217821782178218,0.00348517362506571,0.725701163496862
"Cosmibuena_grandiflora","Cosmibuena_matudae",0.092860178083592,0.95049504950495,0.0963972270778842,0.274885863541659,0.287128712871287,0,0.207649110004046,0.257425742574257,0,0.231395288085642
"Cosmibuena_grandiflora","Cosmibuena_valerii",0.149496647243667,0.930693069306931,0.138598317783236,0.322767922860615,0.376237623762376,0.00024383034270018,0.345051145913505,0.376237623762376,3.45133167946876e-05,0.319835254259524
"Cosmibuena_grandiflora","Hillia_allenii",0.0423166135922952,0.475247524752475,0.0123148038203603,0.200813783440325,0.465346534653465,2.64658415947305e-05,0.205092465697553,0.455445544554455,0,0.234759172136822
"Cosmibuena_grandiflora","Hillia_costanensis",0.0187340287495761,0.861386138613861,0.0120203967251641,0.455202735248399,0.504950495049505,1.89901120727254e-05,0.398369885313954,0.574257425742574,3.77220589744098e-05,0.518542945504599
"Cosmibuena_grandiflora","Hillia_grayumii",0.00746321366907665,0.930693069306931,0.00493482369533329,0.199574516268687,0.108910891089109,0,0.0173884062877657,0.138613861386139,1.56280454821633e-07,0.0262627305994734
"Cosmibuena_grandiflora","Hillia_illustris",0.217024073607154,0.940594059405941,0.184233724220468,0.653302389095836,0.297029702970297,0.000508471275873473,0.548184462270695,0.346534653465347,1.0547118733939e-16,0.603190816956574
"Cosmibuena_grandiflora","Hillia_killipii",0.112778144111768,0.742574257425743,0.0566876372785224,0.261371577213644,0.0792079207920792,0,0.15514422411397,0.0693069306930693,0,0.1172201176884
"Cosmibuena_grandiflora","Hillia_longifilamentosa",0.0887225808763809,0.376237623762376,0.020610374220747,0.293264522760622,0.504950495049505,0.000569419750441141,0.30990526725724,0.485148514851485,5.23754297843127e-07,0.283739486889632
"Cosmibuena_grandiflora","Hillia_loranthoides",0.0992111277181341,0.623762376237624,0.0453604717704476,0.24384465253972,0.207920792079208,0,0.17962822153978,0.366336633663366,5.91180946076186e-05,0.216688119942601
"Cosmibuena_grandiflora","Hillia_macromeris",0.186642928214347,0.247524752475248,0.0190553964934912,0.442107339828136,0.554455445544555,0.00326251051434262,0.676942842853634,0.504950495049505,4.29598361156858e-05,0.676374541836782
"Cosmibuena_grandiflora","Hillia_macrophylla_SA",0.189852623930255,0.445544554455446,0.113978026152668,0.316222116289279,0.0594059405940594,7.56846104409847e-05,0.188218695556126,0.0594059405940594,1.74447068493622e-05,0.18547354239709
"Cosmibuena_grandiflora","Hillia_macrophylla_CA",0.0243726529766366,0.613861386138614,0.00589734145396733,0.203294342477359,0.287128712871287,0.000102656750255725,0.100700591403056,0.267326732673267,0,0.119677651573733
"Cosmibuena_grandiflora","Hillia_maxonii",0.704651020608509,0.0099009900990099,0.0922706498747107,0.620465760715014,0.118811881188119,0.00270496692559567,0.734469559862707,0.158415841584158,0.000352220380925361,0.746462681882428
"Cosmibuena_grandiflora","Hillia_palmana",0.183057617128729,0.752475247524752,0.125147911769287,0.306499895595305,0.445544554455446,0.000666892685381404,0.321231666749516,0.356435643564356,0.000283627259861197,0.305451126469883
"Cosmibuena_grandiflora","Hillia_panamensis",0.0939369394450507,0.841584158415842,0.0548816865897114,0.246401659738758,0.287128712871287,0,0.201418628537264,0.297029702970297,4.68366285374944e-06,0.181004170960996
"Cosmibuena_grandiflora","Hillia_parasitica",0.455087249886505,0.861386138613861,0.394225399913199,0.637179936493952,0.267326732673267,0.00451912421820118,0.58142202526359,0.277227722772277,0.000799565240753947,0.577388536468674
"Cosmibuena_grandiflora","Hillia_pumila",0.113480455372171,0.306930693069307,0.0191060822958871,0.171463271272597,0.0495049504950495,0.000366500508942186,0.105139222662167,0.099009900990099,0.000106840599358166,0.161738975219351
"Cosmibuena_grandiflora","Hillia_tetrandra",0.157204625578881,0.801980198019802,0.113468865710002,0.256353211162622,0.158415841584158,0,0.201339233720478,0.099009900990099,0,0.181291406734713
"Cosmibuena_grandiflora","Hillia_triflora_var._pittieri",0.0361358179544534,0.98019801980198,0.0591282695100162,0.321863715463028,0.455445544554455,0.000135958610360387,0.191806986426779,0.504950495049505,0,0.192570087110553
"Cosmibuena_grandiflora","Hillia_triflora_var._triflora",0.206944139043657,0.465346534653465,0.0631839867290623,0.332223791500355,0.366336633663366,0,0.33090704398727,0.386138613861386,0.00025996864916753,0.347808198325713
"Cosmibuena_grandiflora","Hillia_ulei",0.106620419484697,0.900990099009901,0.0854320527925014,0.567902871508411,0.425742574257426,0.00062727698868239,0.525667979279221,0.435643564356436,0.000426541601962455,0.560231294573728
"Cosmibuena_grandiflora","Hillia_wurdackii",0.136911759319115,0.752475247524752,0.0924264052463758,0.267678401449895,0.0198019801980198,0.000208776803914268,0.101600080648311,0.0693069306930693,0.00052466781305831,0.142188356319139
"Cosmibuena_macrocarpa","Cosmibuena_matudae",0.0131868633738818,1,0.142500254256474,0.269492298211922,0.316831683168317,0,0.185696792764492,0.445544554455446,0,0.203299282653625
"Cosmibuena_macrocarpa","Cosmibuena_valerii",0.0423246101148972,1,0.169959935031286,0.324505806113739,0.445544554455446,0,0.340015588144739,0.514851485148515,0,0.375296253640791
"Cosmibuena_macrocarpa","Hillia_allenii",0.0231950004900705,0.425742574257426,0.00268375306741186,0.294052284506766,0.465346534653465,0,0.280741738415402,0.524752475247525,0,0.262067975601464
"Cosmibuena_macrocarpa","Hillia_costanensis",0.00608138290553584,0.930693069306931,0.00595848168395161,0.694384390138513,0.623762376237624,0,0.381847744526242,0.623762376237624,4.3773714602513e-07,0.402097574741808
"Cosmibuena_macrocarpa","Hillia_grayumii",0.00541899649952582,0.742574257425743,0.00121717668906139,0.289921536954671,0.198019801980198,0,0.0359766134444895,0.287128712871287,0,0.0602803475525428
"Cosmibuena_macrocarpa","Hillia_illustris",0.281004958998902,0.732673267326733,0.0969904483242102,0.687871251279641,0.158415841584158,0,0.556627386868738,0.168316831683168,0.000191727732325758,0.433594491324226
"Cosmibuena_macrocarpa","Hillia_killipii",0.0405320858810295,0.96039603960396,0.053456623938917,0.196176348406085,0.257425742574257,0,0.214770969444551,0.386138613861386,0,0.324515258383619
"Cosmibuena_macrocarpa","Hillia_longifilamentosa",0.0332039795033198,0.643564356435644,0.00937457194668306,0.350445688745734,0.564356435643564,0,0.379729967110608,0.613861386138614,2.15172633100114e-07,0.354190988484545
"Cosmibuena_macrocarpa","Hillia_loranthoides",0.041182010820855,0.861386138613861,0.0351822337557561,0.275265271309687,0.326732673267327,0,0.193356633471941,0.376237623762376,0,0.204073977118198
"Cosmibuena_macrocarpa","Hillia_macromeris",0.329646920711559,0.435643564356436,0.00785437671919482,0.681039959885649,0.267326732673267,0.000175085867963892,0.633061548619388,0.178217821782178,0,0.521955676928443
"Cosmibuena_macrocarpa","Hillia_macrophylla_SA",0.0428561204843625,1,0.128730876163426,0.240753733507379,0.346534653465347,1.0547118733939e-16,0.36471848546916,0.316831683168317,0,0.153241033236864
"Cosmibuena_macrocarpa","Hillia_macrophylla_CA",0.0193431787684387,0.504950495049505,0.00176576006135276,0.391016249054091,0.405940594059406,0,0.215853458640327,0.405940594059406,0,0.254040192334195
"Cosmibuena_macrocarpa","Hillia_maxonii",0.330210988553951,0.920792079207921,0.246792302827592,0.811839013548498,0.168316831683168,0,0.641115977892016,0.198019801980198,6.77229830484072e-05,0.647786015247524
"Cosmibuena_macrocarpa","Hillia_palmana",0.0479006018407374,1,0.18364962153167,0.31768616507947,0.465346534653465,0,0.305875157866581,0.485148514851485,0,0.341805282335424
"Cosmibuena_macrocarpa","Hillia_panamensis",0.0344160459097965,0.98019801980198,0.0485429471124478,0.250901774432024,0.356435643564356,0,0.16783502368466,0.316831683168317,0,0.141194249558199
"Cosmibuena_macrocarpa","Hillia_parasitica",0.160855690141972,1,0.368356268389198,0.623578110801318,0.346534653465347,0.00125791439919374,0.506397156521262,0.356435643564356,0.00155660581355969,0.528141637781799
"Cosmibuena_macrocarpa","Hillia_pumila",0.0367046921015572,0.871287128712871,0.0199133389215783,0.166351261044646,0.346534653465347,7.23112848861618e-06,0.208877601330905,0.326732673267327,1.0547118733939e-16,0.235412601385141
"Cosmibuena_macrocarpa","Hillia_tetrandra",0.0797414844820665,1,0.138527831759044,0.246207766241498,0.267326732673267,0,0.209752242939579,0.257425742574257,0,0.250516468833371
"Cosmibuena_macrocarpa","Hillia_triflora_var._pittieri",0.0245204949717833,0.98019801980198,0.035813845069572,0.389221203293316,0.544554455445545,0,0.240335185406221,0.554455445544555,0,0.323619938177829
"Cosmibuena_macrocarpa","Hillia_triflora_var._triflora",0.0486121813003026,0.98019801980198,0.102961567948017,0.367838411581413,0.554455445544555,0,0.305765316893755,0.495049504950495,0,0.317383267722507
"Cosmibuena_macrocarpa","Hillia_ulei",0.067068662867742,0.98019801980198,0.0914759783502684,0.680371740487221,0.465346534653465,0.000311249818957615,0.451609348029981,0.514851485148515,0,0.571929141763472
"Cosmibuena_macrocarpa","Hillia_wurdackii",0.0427208434736016,1,0.094388576171417,0.180411782472755,0.297029702970297,2.32360459770153e-05,0.123737499881669,0.257425742574257,1.0547118733939e-16,0.0998069459551891
"Cosmibuena_matudae","Cosmibuena_valerii",0.205804167642193,1,0.36247200121049,0.610112641196053,0.0594059405940594,0,0.203561521554227,0.0693069306930693,0,0.208581821993151
"Cosmibuena_matudae","Hillia_allenii",0.297265982958578,0.752475247524752,0.177971152770896,0.637261820442275,0.0198019801980198,0,0.166186423455136,0.0099009900990099,0,0.136049838465359
"Cosmibuena_matudae","Hillia_costanensis",0.0370522223834066,1,0.144566561426799,0.50514511208882,0.198019801980198,0,0.156306943339367,0.237623762376238,0,0.194800247834071
"Cosmibuena_matudae","Hillia_grayumii",0,1,0.0961045560645633,0.611528477505432,1,0,0.0118148937977009,1,0,0.0327122600967164
"Cosmibuena_matudae","Hillia_illustris",0.0788890393365815,1,0.14041893642329,0.320400512843615,0.287128712871287,0,0.239954400102814,0.247524752475248,0,0.185644530885239
"Cosmibuena_matudae","Hillia_killipii",0.323072125458432,0.445544554455446,0.1692721112316,0.418716384726528,0.0594059405940594,0,0.318971148184294,0.0198019801980198,0,0.162356900075408
"Cosmibuena_matudae","Hillia_longifilamentosa",0.414408649255219,0.584158415841584,0.249704946437155,0.61373939116976,0.0099009900990099,0,0.230776436421959,0.0099009900990099,0,0.174101786955365
"Cosmibuena_matudae","Hillia_loranthoides",0.211715737204073,0.99009900990099,0.350856542793903,0.769111389647222,0.217821782178218,0,0.566209050683246,0.168316831683168,0,0.497530160673286
"Cosmibuena_matudae","Hillia_macromeris",0.0112961813832237,1,0.137400647283097,0.453814090024315,0.514851485148515,0,0.20496256943505,0.495049504950495,0,0.226837708570009
"Cosmibuena_matudae","Hillia_macrophylla_SA",0.174976638698481,1,0.227130043493782,0.403988169963516,0.099009900990099,0,0.213587334645802,0.0297029702970297,0,0.0836563045150767
"Cosmibuena_matudae","Hillia_macrophylla_CA",0.0093948158893381,1,0.125977181729047,0.56604555241994,0.306930693069307,0,0.068792791904645,0.316831683168317,0,0.123136453783945
"Cosmibuena_matudae","Hillia_maxonii",0.0460558545906827,1,0.0909334566924119,0.369881249538024,0.326732673267327,0,0.188695130339003,0.415841584158416,0,0.186652250431448
"Cosmibuena_matudae","Hillia_palmana",0.253507151950944,0.99009900990099,0.366342889643612,0.538656169072009,0.0198019801980198,0,0.166490983613502,0.0198019801980198,0,0.185164953227649
"Cosmibuena_matudae","Hillia_panamensis",0.493251932568382,0.940594059405941,0.492098555377486,0.799643612404098,0.099009900990099,0,0.643632352814486,0.0891089108910891,0,0.535359695102142
"Cosmibuena_matudae","Hillia_parasitica",0.128108793448197,0.940594059405941,0.127489555137783,0.211202731468835,0.168316831683168,0,0.20673130997629,0.188118811881188,0,0.209635381149802
"Cosmibuena_matudae","Hillia_pumila",0.241884411999146,0.623762376237624,0.166349722150709,0.438205272591609,0.0198019801980198,0,0.0709839372148118,0.0396039603960396,0,0.144681332979701
"Cosmibuena_matudae","Hillia_tetrandra",0.418509644990063,0.96039603960396,0.426832991889849,0.742299742590754,0.099009900990099,0,0.517042745284429,0.118811881188119,0,0.508739839301099
"Cosmibuena_matudae","Hillia_triflora_var._pittieri",0.0807908285899406,1,0.272505120430495,0.594885027366112,0.178217821782178,0,0.180688796079803,0.198019801980198,0,0.218436787065681
"Cosmibuena_matudae","Hillia_triflora_var._triflora",0.293238794535387,0.881188118811881,0.263420190361619,0.571529328243587,0.0297029702970297,0,0.18049754511045,0.0099009900990099,0,0.170395586439613
"Cosmibuena_matudae","Hillia_ulei",0.221137686031269,0.712871287128713,0.178092974920193,0.337189059375866,0.0792079207920792,0,0.263855549980205,0.0891089108910891,0,0.249913880977854
"Cosmibuena_matudae","Hillia_wurdackii",0.297338632372495,0.257425742574257,0.192677393926807,0.363646659870548,0.0099009900990099,0,0.0993428798965679,0.0099009900990099,0,0.153949332519091
"Cosmibuena_valerii","Hillia_allenii",0.226465156845653,0.782178217821782,0.135019578322532,0.685045787652189,0.376237623762376,0,0.67305966993179,0.405940594059406,0,0.658410709478446
"Cosmibuena_valerii","Hillia_costanensis",0.00669828283022889,1,0.117675165334432,0.46197534643381,0.742574257425743,0,0.358393650194237,0.702970297029703,0,0.311610404750473
"Cosmibuena_valerii","Hillia_grayumii",0.0206146813609055,1,0.0675651397242614,0.603479670357229,0.099009900990099,0,0.0444293071124772,0.0792079207920792,0,0.0307336664042524
"Cosmibuena_valerii","Hillia_illustris",0.11919437547349,0.930693069306931,0.111968013253754,0.347789503522564,0.485148514851485,0.000979956730232723,0.313358590510817,0.435643564356436,0.00013385271920574,0.320604566544756
"Cosmibuena_valerii","Hillia_killipii",0.547539721874043,0.128712871287129,0.346233520862165,0.564893801108608,0.0099009900990099,0,0.116360021677453,0.0099009900990099,0,0.112737819260672
"Cosmibuena_valerii","Hillia_longifilamentosa",0.529519115514503,0.405940594059406,0.238016952892957,0.700602897099122,0.297029702970297,0,0.860462792411835,0.198019801980198,0,0.725902101015087
"Cosmibuena_valerii","Hillia_loranthoides",0.577154814207059,0.475247524752475,0.353759976700904,0.688158304214966,0.0099009900990099,0,0.250667408934056,0.0099009900990099,0,0.284195024473193
"Cosmibuena_valerii","Hillia_macromeris",0.0776814361867731,1,0.124018448084639,0.500212852300765,0.544554455445545,0,0.304913757441045,0.584158415841584,0,0.330912961566524
"Cosmibuena_valerii","Hillia_macrophylla_SA",0.583124125637912,0.0099009900990099,0.375765760674068,0.560559458314487,0.0099009900990099,1.66085095112012e-05,0.15935162044542,0.0099009900990099,0,0.163190513728977
"Cosmibuena_valerii","Hillia_macrophylla_CA",0.123179347072373,0.871287128712871,0.0850406209144168,0.557850180378401,0.287128712871287,0,0.359426803293921,0.237623762376238,0,0.369650541044525
